Typo,Ground_Truth,Transformer_Score,Rank,Edit_Distance
grityy,gritty,N/A,N/A,1
clm,clam,N/A,N/A,1
ffrms,farms,0.041703,7,1
rutlehssly,ruthlessly,N/A,N/A,2
interestong,interesting,N/A,N/A,1
ad,and,0.129147,3,1
thickend,thickened,N/A,N/A,1
fkbrous,fibrous,N/A,N/A,1
rigt,right,N/A,N/A,1
workefd,worked,N/A,N/A,1
Cnoferece,Conference,0.515822,1,2
rhiels,rules,0.556829,1,3
somh9hg,something,0.008361,19,4
hostelris,hostelries,N/A,N/A,1
ttrd,toward,N/A,N/A,3
whhh,which,0.024642,9,2
Yaneefication,Yankeefication,N/A,N/A,1
cousre,course,0.988429,1,1
ffn's,fan's,N/A,N/A,1
Te,The,0.304846,2,1
ffceed,faced,N/A,N/A,2
lcal,local,0.008271,19,1
ddpendemt,dependent,0.279882,1,2
reomved,removed,0.001110,98,1
Stll,Still,0.001582,94,1
nit,not,0.014833,9,1
sory,sorry,0.002556,29,1
ddugh,dough,N/A,N/A,1
talespoons,tablespoons,N/A,N/A,1
reman9kng,remaining,0.148813,3,3
Tk9me,Time,0.009974,11,2
muisciahs,musicians,0.045499,2,2
pprpose,purpose,0.900034,1,1
tts,this,0.104295,2,2
nothiung,nothing,0.072756,2,1
iit5ial,initial,N/A,N/A,2
Mecrer,Mercer,N/A,N/A,1
aay,any,0.018911,6,1
offcie,office,0.001519,54,1
ws,was,0.237955,1,1
tne,the,0.543152,1,1
add,and,0.233168,1,1
eraly,early,0.012665,8,1
evidetny,evidently,0.059502,3,2
safisying,satisfying,0.001495,98,2
e,he,0.004912,5,1
ws,was,0.848923,1,1
Se,She,0.065067,1,1
themseless,themselves,0.224976,1,2
oowdervation,observation,N/A,N/A,3
bt,but,0.000663,85,1
Adas,Adams,N/A,N/A,1
diastrr,disaster,0.032965,4,2
distinguisbdd,distinguished,0.079096,3,2
ijtrval,interval,0.016804,8,2
soruces,sources,0.969624,1,1
immedtee,immediate,N/A,N/A,3
WWllis,Willis,N/A,N/A,1
ssts,sorts,0.005966,24,2
viicssitudes,vicissitudes,N/A,N/A,1
tamke,tame,N/A,N/A,1
aaut,about,0.007745,16,2
FFlly,Folly,N/A,N/A,1
MMs.,Mrs.,N/A,N/A,1
CCase,Chase,N/A,N/A,1
annonce,announce,0.004245,22,1
Oee,One,0.003807,23,1
rewrd,reward,0.051904,2,1
dgrees,degrees,0.421131,1,1
supeiority,superiority,0.009841,15,1
swxx,sex,0.055864,4,2
eetremely,extremely,0.017170,15,1
wiuld,would,0.282241,2,1
o,to,0.955080,1,1
yewrs,years,0.808842,1,1
avo9d,avoid,0.220383,1,1
lle,life,0.008801,13,2
bdwcame,became,0.433964,1,2
vriuos,various,0.016655,12,2
te,the,0.234137,1,1
prexent,present,0.001603,75,1
